Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T003_001,SE_T003_002,SE_T003_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017
"Irwin County","Irwin County, Georgia","917743923","21807567","050","00","3","5","13155","13","155",9538,9538,4804,4734,9538,602,658,668,387,819,1181,1289,1308,1141,853,447,185,9538,9310,6719,2459,2,61,0,6,63,228,92,13,0,0,0,101,22
"Jackson County","Jackson County, Georgia","879722928","8900197","050","00","3","5","13157","13","157",60485,60485,30002,30483,60485,4313,4675,4466,2591,4724,7754,9182,8777,6806,4514,1966,717,60485,56749,50695,4050,91,1026,12,59,816,3736,1801,53,33,7,1,1590,251
"Jasper County","Jasper County, Georgia","953542690","13725963","050","00","3","5","13159","13","159",13900,13900,6916,6984,13900,946,976,968,585,1130,1634,1870,2096,1931,1065,524,175,13900,13390,10095,3030,40,30,1,18,176,510,176,7,15,0,0,255,57
"Jeff Davis County","Jeff Davis County, Georgia","856613114","12063799","050","00","3","5","13161","13","161",15068,15068,7464,7604,15068,1183,1190,1151,642,1307,1882,1939,2073,1827,1161,538,175,15068,13491,11056,2212,27,70,0,6,120,1577,407,12,7,0,0,1091,60
"Jefferson County","Jefferson County, Georgia","1363589314","8241842","050","00","3","5","13163","13","163",16930,16930,8183,8747,16930,1171,1221,1139,740,1469,1962,2119,2360,2251,1397,785,316,16930,16413,7015,9187,18,64,2,13,114,517,191,26,0,4,0,262,34
"Jenkins County","Jenkins County, Georgia","899448996","13452255","050","00","3","5","13165","13","165",8340,8340,3959,4381,8340,613,607,642,374,744,894,959,1150,1101,664,428,164,8340,8006,4508,3353,22,36,1,7,79,334,71,27,4,0,3,212,17
"Johnson County","Johnson County, Georgia","784793399","9278578","050","00","3","5","13167","13","167",9980,9980,5592,4388,9980,550,585,614,341,779,1382,1414,1653,1273,775,450,164,9980,9794,6219,3461,17,22,3,7,65,186,82,28,2,0,0,58,16
"Jones County","Jones County, Georgia","1020281755","3842707","050","00","3","5","13169","13","169",28669,28669,13870,14799,28669,1890,2027,2197,1359,2219,3250,4010,4497,3634,2201,1020,365,28669,28354,20830,6977,61,186,2,25,273,315,159,31,2,1,1,78,43
"Lamar County","Lamar County, Georgia","475262611","6046031","050","00","3","5","13171","13","171",18317,18317,8852,9465,18317,1087,1056,1063,663,2677,2044,2268,2586,2386,1482,748,257,18317,17976,11943,5621,34,68,2,22,286,341,155,29,13,4,0,120,20
"Lanier County","Lanier County, Georgia","479824426","37625302","050","00","3","5","13173","13","173",10078,10078,5084,4994,10078,896,729,706,437,963,1552,1306,1363,1022,680,347,77,10078,9617,6899,2367,38,101,3,4,205,461,219,23,15,2,0,171,31
"Laurens County","Laurens County, Georgia","2090886200","28942290","050","00","3","5","13175","13","175",48434,48434,23066,25368,48434,3462,3489,3315,2209,4098,5893,6282,6820,5982,3834,2176,874,48434,47291,28920,17268,87,478,4,41,493,1143,435,56,13,5,0,550,84
"Lee County","Lee County, Georgia","921475641","15407913","050","00","3","5","13177","13","177",28298,28298,14097,14201,28298,1865,2261,2402,1407,2252,3566,4465,4413,3313,1461,665,228,28298,27738,21453,5239,66,609,19,25,327,560,310,29,8,8,0,145,60
"Liberty County","Liberty County, Georgia","1268578765","291960039","050","00","3","5","13179","13","179",63453,63453,30962,32491,63453,6552,5244,4540,2855,8837,10472,7748,7909,5325,2654,1019,298,63453,57294,27085,26018,287,1182,364,142,2216,6159,2796,787,71,65,28,1668,744
"Lincoln County","Lincoln County, Georgia","544880697","121517149","050","00","3","5","13181","13","181",7996,7996,3896,4100,7996,420,415,482,334,637,714,1000,1313,1285,868,424,104,7996,7898,5201,2562,27,32,1,9,66,98,56,8,1,0,0,24,9
"Long County","Long County, Georgia","1036755278","9116399","050","00","3","5","13183","13","183",14464,14464,7162,7302,14464,1355,1198,1188,678,1506,2271,1977,1920,1316,635,297,123,14464,12686,8491,3541,76,110,51,32,385,1778,535,106,15,5,5,1007,105
"Lowndes County","Lowndes County, Georgia","1284805506","37578770","050","00","3","5","13185","13","185",109233,109233,53285,55948,109233,8264,7329,7120,4257,19016,15729,13127,13386,10312,6178,3371,1144,109233,103995,61234,38815,305,1561,92,244,1744,5238,2251,327,111,30,30,1921,568
"Lumpkin County","Lumpkin County, Georgia","732793111","3273378","050","00","3","5","13187","13","187",29966,29966,14894,15072,29966,1765,1688,1743,1045,4812,3557,3543,4233,3786,2428,1081,285,29966,28622,27519,310,167,133,24,10,459,1344,758,30,10,5,3,454,84
"McDuffie County","McDuffie County, Georgia","666820495","23120857","050","00","3","5","13189","13","189",21875,21875,10250,11625,21875,1559,1576,1602,961,1913,2473,2714,3268,2837,1779,869,324,21875,21400,12310,8661,56,74,15,23,261,475,208,45,9,2,0,168,43
"McIntosh County","McIntosh County, Georgia","1098929183","387447582","050","00","3","5","13191","13","191",14333,14333,6989,7344,14333,785,799,857,637,1094,1348,1768,2295,2272,1603,682,193,14333,14106,8716,5132,46,45,5,14,148,227,95,17,7,0,5,74,29
"Macon County","Macon County, Georgia","1037654091","13859159","050","00","3","5","13193","13","193",14740,14740,7973,6767,14740,857,838,924,634,1445,2056,1908,2256,1995,1121,536,170,14740,14213,4961,8902,19,190,18,5,118,527,216,31,21,5,2,225,27
"Madison County","Madison County, Georgia","731181736","8487230","050","00","3","5","13195","13","195",28120,28120,13898,14222,28120,1727,1888,1990,1269,2318,3256,3837,4403,3678,2322,1086,346,28120,26981,24106,2320,63,173,0,32,287,1139,528,35,11,5,1,495,64
"Marion County","Marion County, Georgia","947944161","3825422","050","00","3","5","13197","13","197",8742,8742,4305,4437,8742,569,568,569,390,814,876,1070,1447,1224,825,295,95,8742,8172,5100,2837,40,77,13,6,99,570,154,19,4,1,0,352,40
"Meriwether County","Meriwether County, Georgia","1298161653","10834104","050","00","3","5","13199","13","199",21992,21992,10492,11500,21992,1429,1422,1475,884,1846,2477,2573,3310,3109,2078,1006,383,21992,21645,12606,8583,67,141,2,18,228,347,135,22,10,0,0,146,34
"Miller County","Miller County, Georgia","731466754","3216381","050","00","3","5","13201","13","201",6125,6125,2929,3196,6125,423,406,372,235,488,674,741,864,799,597,366,160,6125,6032,4237,1697,14,23,0,0,61,93,29,23,1,5,0,25,10
"Mitchell County","Mitchell County, Georgia","1326293194","4504169","050","00","3","5","13205","13","205",23498,23498,12186,11312,23498,1732,1561,1614,929,2198,3065,3153,3429,2730,1771,938,378,23498,22470,10894,11185,60,120,4,18,189,1028,370,34,17,2,6,557,42
"Monroe County","Monroe County, Georgia","1024750743","5575307","050","00","3","5","13207","13","207",26424,26424,13271,13153,26424,1461,1645,1723,1124,2249,2898,3492,4380,3783,2162,1082,425,26424,25889,19101,6249,64,209,4,14,248,535,264,19,5,5,0,214,28
"Montgomery County","Montgomery County, Georgia","620362830","13388730","050","00","3","5","13209","13","209",9123,9123,4695,4428,9123,552,560,623,349,1143,1084,1190,1301,1148,742,343,88,9123,8643,6144,2372,6,26,1,4,90,480,147,25,0,0,0,299,9
"Morgan County","Morgan County, Georgia","899630975","18832334","050","00","3","5","13211","13","211",17868,17868,8636,9232,17868,1026,1218,1384,811,1230,1792,2393,2796,2444,1665,823,286,17868,17374,12814,4199,45,106,0,17,193,494,170,9,9,0,0,268,38
"Murray County","Murray County, Georgia","892163642","5688079","050","00","3","5","13213","13","213",39628,39628,19652,19976,39628,2822,3019,2999,1808,3596,4940,5908,5817,4433,2765,1229,292,39628,34474,33666,212,94,110,1,15,376,5154,1654,33,65,6,24,3118,254
"Muscogee County","Muscogee County, Georgia","560435436","11968740","050","00","3","5","13215","13","215",189885,189885,90870,99015,189885,14135,13226,12980,8257,21662,28231,23433,25679,20200,11465,7807,2810,189885,177775,82890,85119,599,4061,378,432,4296,12110,4980,1284,132,67,53,4122,1472
"Newton County","Newton County, Georgia","704894510","18224766","050","00","3","5","13217","13","217",99958,99958,47626,52332,99958,7563,8105,8210,4995,8795,12665,15662,13719,10414,5972,2906,952,99958,95323,51995,40371,199,881,34,169,1674,4635,1759,507,33,25,3,1899,409
"Oconee County","Oconee County, Georgia","477308229","5393182","050","00","3","5","13219","13","219",32808,32808,16007,16801,32808,1924,2693,2912,1774,2260,3053,4915,5498,4201,2147,1012,419,32808,31372,28306,1610,31,1016,4,35,370,1436,698,25,18,6,1,606,82
"Oglethorpe County","Oglethorpe County, Georgia","1137034709","7839225","050","00","3","5","13221","13","221",14899,14899,7385,7514,14899,877,987,1039,652,1168,1709,2090,2330,1933,1302,600,212,14899,14353,11429,2557,33,65,2,18,249,546,233,9,2,0,0,267,35
"Paulding County","Paulding County, Georgia","808643215","5498097","050","00","3","5","13223","13","223",142324,142324,69578,72746,142324,11186,12510,12294,7104,11310,19394,25400,20386,12520,6576,2849,795,142324,135060,106739,23810,353,1237,58,280,2583,7264,3778,511,74,34,9,2154,704
"Peach County","Peach County, Georgia","389190656","2676298","050","00","3","5","13225","13","225",27695,27695,13416,14279,27695,1831,1695,1731,1063,4834,3170,3161,3874,3172,1910,967,287,27695,25805,12499,12647,59,222,8,26,344,1890,884,68,8,1,0,848,81
"Pickens County","Pickens County, Georgia","601025731","1695924","050","00","3","5","13227","13","227",29431,29431,14440,14991,29431,1742,1935,1883,1077,2142,3133,3990,4281,4443,3084,1330,391,29431,28612,27802,297,69,118,5,13,308,819,369,15,12,1,2,383,37
"Pierce County","Pierce County, Georgia","819714945","69246241","050","00","3","5","13229","13","229",18758,18758,9202,9556,18758,1309,1400,1371,816,1432,2222,2555,2647,2375,1600,768,263,18758,17871,15860,1646,70,58,12,10,215,887,433,20,10,1,0,379,44
"Pike County","Pike County, Georgia","559659405","8596833","050","00","3","5","13231","13","231",17869,17869,8742,9127,17869,1011,1400,1554,873,1327,1883,2701,2785,2139,1363,609,224,17869,17676,15506,1825,52,55,1,15,222,193,100,12,3,1,0,58,19
"Polk County","Polk County, Georgia","803754838","4686006","050","00","3","5","13233","13","233",41475,41475,20518,20957,41475,3307,3142,2976,1621,3779,5270,5308,5783,4754,3204,1738,593,41475,36590,30492,5150,73,270,16,53,536,4885,1482,40,42,11,20,3067,223
"Pulaski County","Pulaski County, Georgia","644987096","5634982","050","00","3","5","13235","13","235",12010,12010,5191,6819,12010,707,734,718,419,910,1510,1652,1857,1621,1151,567,164,12010,11545,7494,3808,30,103,2,18,90,465,185,16,10,2,3,216,33
"Putnam County","Putnam County, Georgia","892610760","41562906","050","00","3","5","13237","13","237",21218,21218,10331,10887,21218,1346,1276,1239,740,1582,2384,2438,3029,3339,2491,1045,309,21218,19871,14024,5497,27,107,9,23,184,1347,384,25,11,0,9,844,74
"Quitman County","Quitman County, Georgia","391703085","24158294","050","00","3","5","13239","13","239",2513,2513,1200,1313,2513,133,147,154,80,195,217,287,316,430,325,186,43,2513,2479,1265,1198,3,2,0,0,11,34,25,6,1,0,0,2,0
"Rabun County","Rabun County, Georgia","958276574","17845339","050","00","3","5","13241","13","241",16276,16276,8025,8251,16276,817,868,1023,721,1167,1501,1884,2309,2527,2045,1056,358,16276,14975,14468,144,53,114,7,10,179,1301,717,12,15,2,1,481,73
"Randolph County","Randolph County, Georgia","1109126837","6830057","050","00","3","5","13243","13","243",7719,7719,3552,4167,7719,499,437,481,311,701,823,809,1174,1108,717,452,207,7719,7600,2781,4747,5,22,0,4,41,119,46,22,0,1,0,31,19
"Richmond County","Richmond County, Georgia","840000029","11046882","050","00","3","5","13245","13","245",200549,200549,97015,103534,200549,14851,13400,12637,8417,25069,30312,23260,27454,22437,12665,7399,2648,200549,192342,76236,107365,570,3278,374,310,4209,8207,3388,1268,115,53,26,2336,1021
"Rockdale County","Rockdale County, Georgia","336161686","5969943","050","00","3","5","13247","13","247",85215,85215,40533,44682,85215,5763,6049,6703,4399,7681,9877,12271,13206,10200,5389,2688,989,85215,77152,34826,38996,179,1498,52,230,1371,8063,3361,563,74,18,4,3586,457
"Schley County","Schley County, Georgia","432283853","2376378","050","00","3","5","13249","13","249",5010,5010,2407,2603,5010,318,452,467,266,385,485,754,685,541,464,151,42,5010,4849,3612,1167,2,36,0,0,32,161,46,2,0,0,0,96,17
"Screven County","Screven County, Georgia","1670803650","27889028","050","00","3","5","13251","13","251",14593,14593,7116,7477,14593,993,898,976,823,1280,1612,1723,2106,2008,1212,681,281,14593,14413,7898,6283,33,56,1,3,139,180,67,35,13,1,0,38,26
"Seminole County","Seminole County, Georgia","609232736","55244218","050","00","3","5","13253","13","253",8729,8729,4139,4590,8729,501,537,617,349,632,871,1002,1323,1240,958,510,189,8729,8525,5516,2887,12,33,0,10,67,204,78,29,0,2,0,75,20
"Spalding County","Spalding County, Georgia","508851760","8084983","050","00","3","5","13255","13","255",64073,64073,31046,33027,64073,4625,4555,4408,2623,5747,8324,8461,9002,7789,5016,2560,963,64073,61622,38986,20937,153,567,30,79,870,2451,1162,93,60,7,4,945,180
"Stephens County","Stephens County, Georgia","463948106","13121977","050","00","3","5","13257","13","257",26175,26175,12528,13647,26175,1620,1587,1684,1061,2542,2814,3163,3772,3584,2507,1360,481,26175,25542,22006,2821,68,175,13,32,427,633,280,24,9,3,2,225,90
"Stewart County","Stewart County, Georgia","1188113818","12636841","050","00","3","5","13259","13","259",6058,6058,3682,2376,6058,273,201,271,204,682,1160,925,792,692,454,270,134,6058,4604,1655,2833,11,44,1,9,51,1454,41,31,0,0,0,1373,9
"Sumter County","Sumter County, Georgia","1250179595","25787952","050","00","3","5","13261","13","261",32819,32819,15627,17192,32819,2367,2159,2290,1485,4367,4162,3865,4189,3792,2269,1305,569,32819,31102,13413,16894,95,418,9,12,261,1717,439,107,11,3,12,1028,117
"Talbot County","Talbot County, Georgia","1013691766","8737087","050","00","3","5","13263","13","263",6865,6865,3245,3620,6865,362,367,445,290,516,614,766,1224,1162,708,315,96,6865,6774,2639,4039,18,9,0,3,66,91,40,26,0,0,0,23,2
"Taliaferro County","Taliaferro County, Georgia","504031776","1915723","050","00","3","5","13265","13","265",1717,1717,841,876,1717,96,69,98,60,159,154,195,270,264,190,105,57,1717,1682,625,1024,2,8,0,0,23,35,15,0,0,3,0,16,1
"Tattnall County","Tattnall County, Georgia","1241648097","23169438","050","00","3","5","13267","13","267",25520,25520,14860,10660,25520,1496,1459,1533,918,2567,4192,3818,3846,2720,1800,868,303,25520,23018,15196,7424,54,99,11,16,218,2502,795,41,33,0,6,1511,116
"Taylor County","Taylor County, Georgia","975612230","7803620","050","00","3","5","13269","13","269",8906,8906,4301,4605,8906,543,565,620,450,768,958,1155,1369,1148,811,375,144,8906,8742,5123,3485,5,57,0,4,68,164,85,18,1,0,0,54,6
"Telfair County","Telfair County, Georgia","1132610545","17366962","050","00","3","5","13271","13","271",16500,16500,9452,7048,16500,946,928,862,580,1350,2539,2535,2509,2000,1214,753,284,16500,14474,8429,5830,8,90,4,3,110,2026,969,187,18,6,0,671,175
"Terrell County","Terrell County, Georgia","868783601","5863427","050","00","3","5","13273","13","273",9315,9315,4479,4836,9315,669,603,629,403,894,1023,1027,1408,1271,809,408,171,9315,9158,3366,5683,14,29,0,3,63,157,41,17,4,0,1,71,23
"Thomas County","Thomas County, Georgia","1410495980","19742306","050","00","3","5","13275","13","275",44720,44720,21179,23541,44720,3035,3009,3149,1944,3680,5134,5619,6699,5711,3739,2140,861,44720,43445,26081,16416,166,306,7,49,420,1275,564,81,30,5,0,470,125
"Tift County","Tift County, Georgia","670585617","25574884","050","00","3","5","13277","13","277",40118,40118,19210,20908,40118,2960,2903,2834,1663,4825,5100,4933,5322,4455,2843,1628,652,40118,36081,23555,11549,72,507,8,33,357,4037,1090,69,13,5,0,2589,271
"Toombs County","Toombs County, Georgia","942767920","18098787","050","00","3","5","13279","13","279",27223,27223,12928,14295,27223,2219,2082,2059,1255,2334,3339,3402,3637,3154,2150,1137,455,27223,24168,16887,6716,37,199,14,42,273,3055,841,51,37,1,0,1977,148
"Towns County","Towns County, Georgia","431395530","14037948","050","00","3","5","13281","13","281",10471,10471,4996,5475,10471,383,452,510,296,1071,734,1035,1258,1671,1719,1007,335,10471,10265,10102,39,30,43,0,1,50,206,130,2,1,1,1,60,11
"Treutlen County","Treutlen County, Georgia","516536589","7805614","050","00","3","5","13283","13","283",6885,6885,3449,3436,6885,496,488,486,243,639,941,830,977,845,513,314,113,6885,6782,4466,2239,10,13,0,2,52,103,22,8,4,0,0,53,16
"Troup County","Troup County, Georgia","1072223976","82812028","050","00","3","5","13285","13","285",67044,67044,32215,34829,67044,4749,4864,5043,3146,6395,8213,8867,9550,7914,4519,2683,1101,67044,64874,40408,22319,134,1054,21,85,853,2170,808,75,34,6,33,1055,159
"Turner County","Turner County, Georgia","739164599","11881250","050","00","3","5","13287","13","287",8930,8930,4358,4572,8930,597,598,613,395,836,1067,1092,1205,1126,773,443,185,8930,8648,4820,3697,19,40,0,22,50,282,66,15,10,0,0,176,15
"Twiggs County","Twiggs County, Georgia","928246376","10972021","050","00","3","5","13289","13","289",9023,9023,4398,4625,9023,522,471,496,367,785,846,1030,1639,1408,904,438,117,9023,8899,5059,3703,27,14,1,6,89,124,64,21,1,0,0,24,14
"Union County","Union County, Georgia","833785120","18333198","050","00","3","5","13291","13","291",21356,21356,10397,10959,21356,927,1028,1182,656,1308,1698,2220,2991,3671,3335,1717,623,21356,20837,20345,95,66,75,4,13,239,519,323,4,6,0,0,171,15
"Upson County","Upson County, Georgia","837697129","10663300","050","00","3","5","13293","13","293",27153,27153,13024,14129,27153,1691,1685,1812,1229,2351,3017,3489,4057,3570,2434,1304,514,27153,26565,18522,7544,61,124,3,19,292,588,171,46,15,3,6,304,43
"Walker County","Walker County, Georgia","1156117093","1672680","050","00","3","5","13295","13","295",68756,68756,33781,34975,68756,4202,4413,4816,2825,5317,8432,9322,10252,8875,5900,3252,1150,68756,67643,63343,2809,170,291,30,53,947,1113,575,20,12,6,0,368,132
"Walton County","Walton County, Georgia","843508113","11187622","050","00","3","5","13297","13","297",83768,83768,40763,43005,83768,5804,6351,6498,3935,6657,9869,12523,12309,9730,5982,2966,1144,83768,81085,65677,12993,194,947,38,159,1077,2683,1380,110,28,9,10,972,174
"Ware County","Ware County, Georgia","2311462171","40215551","050","00","3","5","13299","13","299",36312,36312,18069,18243,36312,2500,2298,2296,1463,3464,4681,4528,5109,4442,2855,1892,784,36312,35105,23583,10662,97,278,7,35,443,1207,520,59,23,1,6,508,90
"Warren County","Warren County, Georgia","736328597","6189505","050","00","3","5","13301","13","301",5834,5834,2694,3140,5834,403,385,333,252,458,582,659,905,810,578,332,137,5834,5780,2133,3584,9,21,0,2,31,54,19,18,1,1,0,10,5
"Washington County","Washington County, Georgia","1757182927","15290061","050","00","3","5","13303","13","303",21187,21187,10812,10375,21187,1407,1297,1365,977,1867,2687,2695,3407,2604,1586,897,398,21187,20780,9339,11124,19,104,1,26,167,407,192,49,6,0,0,117,43
"Wayne County","Wayne County, Georgia","1662194319","18179669","050","00","3","5","13305","13","305",30099,30099,15719,14380,30099,2182,2074,1983,1222,2534,3963,4353,4320,3606,2264,1231,367,30099,28380,21749,5928,82,160,6,12,443,1719,809,68,45,1,0,637,159
"Webster County","Webster County, Georgia","541613654","2965859","050","00","3","5","13307","13","307",2799,2799,1362,1437,2799,164,209,218,119,208,270,381,426,384,239,126,55,2799,2701,1492,1177,0,7,0,1,24,98,20,8,0,0,0,65,5
"Wheeler County","Wheeler County, Georgia","765301286","12390103","050","00","3","5","13309","13","309",7421,7421,4580,2841,7421,409,425,376,189,763,1250,1097,1133,897,488,288,106,7421,7065,4405,2582,6,16,0,2,54,356,147,32,0,0,2,172,3
"White County","White County, Georgia","623374958","3939977","050","00","3","5","13311","13","311",27144,27144,13269,13875,27144,1589,1685,1823,1103,2241,2717,3408,3970,3854,2889,1443,422,27144,26497,25453,454,120,124,9,12,325,647,371,3,11,0,0,218,44
"Whitfield County","Whitfield County, Georgia","752297142","1530155","050","00","3","5","13313","13","313",102599,102599,51118,51481,102599,8131,8290,8117,4745,9777,13506,14464,13638,10486,6669,3578,1198,102599,70128,63818,3631,180,1292,29,96,1082,32471,14805,214,478,38,41,15333,1562
"Wilcox County","Wilcox County, Georgia","978250169","11444222","050","00","3","5","13315","13","315",9255,9255,5436,3819,9255,481,471,512,323,839,1407,1357,1380,1164,705,432,184,9255,8917,5544,3233,15,41,1,12,71,338,162,19,1,1,0,137,18
"Wilkes County","Wilkes County, Georgia","1215973866","11924803","050","00","3","5","13317","13","317",10593,10593,5169,5424,10593,632,597,686,441,766,1139,1245,1597,1519,1097,606,268,10593,10232,5495,4516,14,48,1,14,144,361,121,19,4,4,0,203,10
"Wilkinson County","Wilkinson County, Georgia","1158522024","12022592","050","00","3","5","13319","13","319",9563,9563,4582,4981,9563,658,636,636,394,756,1035,1118,1551,1275,881,476,147,9563,9349,5529,3664,20,31,1,14,90,214,69,8,9,0,0,113,15
"Worth County","Worth County, Georgia","1478111101","10498400","050","00","3","5","13321","13","321",21679,21679,10397,11282,21679,1434,1407,1537,965,1969,2333,2709,3302,2889,1902,896,336,21679,21344,15044,5951,48,74,4,12,211,335,188,27,10,0,2,86,22
